City,Cu St ID,Order Date,Order ID,Ship Date,Ship Mode,State,Zip Code
Marion,HG-15025,2020-06-12,CA-2017-117821,2020-06-16,Standard Class,Ohio,43302
Pasadena,RF-19840,2019-12-12,CA-2016-136686,2019-12-16,Standard Class,California,91104
Springfield,LM-17065,2018-12-18,US-2015-120161,2018-12-23,Standard Class,Ohio,45503
Lakeland,CS-11860,2017-05-02,CA-2014-124618,2017-05-04,Second Class,Florida,33801
Springfield,DE-13255,2019-01-11,CA-2016-126529,2019-01-13,Second Class,Ohio,45503
Chicago,MC-17575,2017-12-02,CA-2014-101147,2017-12-04,First Class,Illinois,60623
Colorado Springs,IM-15070,2018-12-11,CA-2015-104346,2018-12-16,Standard Class,Colorado,80906
Springfield,KM-16225,2019-11-10,CA-2016-119935,2019-11-14,Standard Class,Missouri,65807
Altoona,BT-11395,2018-02-27,CA-2015-111325,2018-02-28,First Class,Pennsylvania,16602
Fayetteville,BF-10975,2018-07-05,CA-2015-116750,2018-07-10,Second Class,North Carolina,28314
New York City,SR-20740,2019-10-23,CA-2016-132661,2019-10-29,Standard Class,New York,10024
San Francisco,CC-12550,2020-06-15,CA-2017-169901,2020-06-19,Standard Class,California,94122
Columbia,GB-14575,2018-09-21,CA-2015-158421,2018-09-26,Standard Class,South Carolina,29203
Seattle,BV-11245,2019-12-24,CA-2016-123526,2019-12-25,First Class,Washington,98103
Waterbury,JF-15490,2020-01-20,US-2017-120649,2020-01-26,Standard Class,Connecticut,6708
Cranston,AH-10075,2020-10-23,CA-2017-125451,2020-10-24,First Class,Rhode Island,2920
Columbus,VF-21715,2020-12-17,CA-2017-107342,2020-12-22,Standard Class,Indiana,47201
Indianapolis,NP-18685,2018-12-06,CA-2015-156104,2018-12-08,Second Class,Indiana,46203
Round Rock,EB-13750,2020-11-10,CA-2017-161739,2020-11-15,Second Class,Texas,78664
Los Angeles,AY-10555,2017-04-06,CA-2014-102652,2017-04-12,Standard Class,California,90049
Seattle,IM-15070,2019-12-05,CA-2016-161389,2019-12-10,Standard Class,Washington,98103
Philadelphia,AS-10090,2020-09-16,CA-2017-136448,2020-09-18,First Class,Pennsylvania,19143
Pasadena,XP-21865,2020-11-14,US-2017-136679,2020-11-18,Standard Class,Texas,77506
New York City,DL-13315,2019-12-10,CA-2016-146941,2019-12-13,First Class,New York,10024
Greensboro,CC-12685,2017-03-22,US-2014-158057,2017-03-26,Standard Class,North Carolina,27405
Salinas,DB-12910,2020-12-09,CA-2017-141201,2020-12-11,Second Class,California,93905
Los Angeles,JD-16150,2017-11-16,CA-2014-119144,2017-11-18,First Class,California,90008
Chicago,HG-14965,2020-12-07,US-2017-122714,2020-12-13,Standard Class,Illinois,60653
Philadelphia,NB-18580,2017-09-26,CA-2014-164385,2017-10-01,Second Class,Pennsylvania,19134
Chicago,LC-16870,2019-03-06,CA-2016-110898,2019-03-12,Standard Class,Illinois,60623
Seattle,SO-20335,2020-12-01,CA-2017-166926,2020-12-08,Standard Class,Washington,98105
Hattiesburg,AR-10405,2018-07-31,CA-2015-164427,2018-08-06,Standard Class,Mississippi,39401
Newark,MY-18295,2019-10-21,CA-2016-151169,2019-10-26,Standard Class,Delaware,19711
Los Angeles,CL-12565,2019-05-28,CA-2016-134803,2019-06-03,Standard Class,California,90004
Newark,SS-20515,2017-07-14,CA-2014-124464,2017-07-20,Standard Class,Delaware,19711
Seattle,ED-13885,2019-12-22,CA-2016-149916,2019-12-24,Second Class,Washington,98115
Los Angeles,RD-19930,2018-07-25,CA-2015-139248,2018-07-30,Standard Class,California,90032
Apple Valley,KB-16405,2020-09-04,CA-2017-101182,2020-09-05,First Class,California,92307
Hot Springs,LM-17065,2018-02-20,CA-2015-169740,2018-02-25,Standard Class,Arkansas,71901
Deltona,NK-18490,2020-10-21,CA-2017-148166,2020-10-26,Standard Class,Florida,32725
Burlington,RS-19870,2020-12-11,CA-2017-142776,2020-12-14,Second Class,Iowa,52601
Conway,MS-17530,2018-11-01,CA-2015-108119,2018-11-08,Standard Class,Arkansas,72032
Cleveland,KB-16315,2017-12-27,US-2014-159611,2018-01-01,Second Class,Ohio,44105
Rockford,MK-17905,2019-09-24,CA-2016-132479,2019-09-26,First Class,Illinois,61107
Westminster,TC-21295,2020-07-14,CA-2017-121048,2020-07-18,Standard Class,California,92683
Chicago,SB-20170,2017-06-06,US-2014-161305,2017-06-12,Standard Class,Illinois,60623
Columbus,NS-18640,2019-12-11,CA-2016-162187,2019-12-11,Same Day,Ohio,43229
New York City,CR-12820,2020-10-06,US-2017-136868,2020-10-12,Standard Class,New York,10035
Garden City,BH-11710,2018-02-08,US-2015-130491,2018-02-11,First Class,Kansas,67846
Eau Claire,DP-13105,2020-12-17,CA-2017-155362,2020-12-21,Standard Class,Wisconsin,54703
Philadelphia,ML-17410,2020-11-06,CA-2017-154109,2020-11-11,Standard Class,Pennsylvania,19143
Los Angeles,TZ-21580,2019-02-22,US-2016-143280,2019-02-26,Standard Class,California,90045
New York City,AC-10615,2020-09-02,CA-2017-157987,2020-09-06,Standard Class,New York,10009
Houston,AC-10420,2020-05-12,US-2017-158218,2020-05-15,Second Class,Texas,77041
Newark,JC-15775,2017-12-21,CA-2014-109127,2017-12-25,Standard Class,Delaware,19711
Glendale,JP-15460,2019-07-18,CA-2016-161676,2019-07-23,Standard Class,Arizona,85301
Loveland,HM-14860,2020-08-04,CA-2017-132738,2020-08-07,First Class,Colorado,80538
Santa Barbara,MG-17890,2020-04-24,CA-2017-166933,2020-04-28,Standard Class,California,93101
Plainfield,JG-15160,2020-08-15,CA-2017-138548,2020-08-21,Standard Class,New Jersey,7060
San Francisco,CS-12175,2020-05-12,CA-2017-117632,2020-05-18,Standard Class,California,94122
New York City,JM-15250,2019-03-29,CA-2016-167556,2019-04-02,Standard Class,New York,10009
San Francisco,CM-11815,2020-03-10,CA-2017-140494,2020-03-15,Second Class,California,94109
San Diego,KC-16540,2019-09-11,CA-2016-145625,2019-09-17,Standard Class,California,92037
Gilbert,BS-11590,2017-12-05,CA-2014-106376,2017-12-10,Standard Class,Arizona,85234
Jacksonville,KL-16555,2019-11-06,US-2016-153815,2019-11-09,First Class,Florida,32216
New York City,DC-12850,2017-09-13,CA-2014-145212,2017-09-19,Standard Class,New York,10011
Los Angeles,TT-21070,2019-05-11,CA-2016-162733,2019-05-12,First Class,California,90045
Columbia,DP-13390,2017-12-21,CA-2014-134621,2017-12-28,Standard Class,Tennessee,38401
Philadelphia,AG-10270,2020-03-27,CA-2017-139416,2020-03-29,Second Class,Pennsylvania,19120
Columbus,CC-12610,2020-11-26,CA-2017-155957,2020-11-30,Standard Class,Ohio,43229
Philadelphia,JW-15955,2018-08-16,US-2015-164238,2018-08-20,Standard Class,Pennsylvania,19120
Greensboro,GK-14620,2018-08-13,CA-2015-133396,2018-08-15,First Class,North Carolina,27405
Raleigh,BF-11170,2019-04-17,CA-2016-149111,2019-04-21,Second Class,North Carolina,27604
San Francisco,PJ-18835,2020-11-21,CA-2017-105130,2020-11-25,Standard Class,California,94122
Philadelphia,DP-13105,2020-04-13,CA-2017-141663,2020-04-17,Standard Class,Pennsylvania,19134
Jacksonville,MH-17455,2018-04-06,CA-2015-100888,2018-04-10,Standard Class,North Carolina,28540
Cleveland,BT-11530,2019-01-22,CA-2016-148208,2019-01-27,Standard Class,Ohio,44105
Seattle,EJ-14155,2020-11-03,US-2017-110989,2020-11-05,Second Class,Washington,98105
Philadelphia,MD-17350,2017-11-05,CA-2014-114251,2017-11-10,Standard Class,Pennsylvania,19143
Los Angeles,TT-21220,2020-06-30,US-2017-113201,2020-07-05,Standard Class,California,90045
Houston,BG-11740,2019-09-06,CA-2016-145240,2019-09-08,First Class,Texas,77070
Chicago,MM-18055,2017-05-26,CA-2014-144029,2017-05-31,Standard Class,Illinois,60623
Columbia,VD-21670,2018-02-28,US-2015-145436,2018-03-04,Standard Class,Tennessee,38401
Detroit,DS-13180,2018-08-09,CA-2015-163055,2018-08-16,Standard Class,Michigan,48227
Los Angeles,DW-13195,2017-08-19,CA-2014-133158,2017-08-21,Second Class,California,90045
Milwaukee,LS-17200,2020-07-31,US-2017-165869,2020-08-05,Standard Class,Wisconsin,53209
Redondo Beach,AS-10240,2017-10-11,CA-2014-128538,2017-10-15,Standard Class,California,90278
Louisville,ME-17725,2018-05-09,CA-2015-155635,2018-05-13,Standard Class,Kentucky,40214
Jackson,NG-18355,2017-11-24,CA-2014-100762,2017-11-29,Standard Class,Michigan,49201
Philadelphia,GM-14500,2018-03-26,CA-2015-167374,2018-03-30,Second Class,Pennsylvania,19140
Aberdeen,JL-15505,2020-11-11,CA-2017-167976,2020-11-14,Second Class,South Dakota,57401
Los Angeles,MH-17455,2019-11-25,CA-2016-113341,2019-11-29,Standard Class,California,90032
Milwaukee,JD-16150,2020-03-25,CA-2017-155880,2020-03-31,Standard Class,Wisconsin,53209
Jackson,AR-10540,2020-01-16,CA-2017-138289,2020-01-18,Second Class,Michigan,49201
Bristol,JB-15400,2018-09-03,CA-2015-121608,2018-09-05,First Class,Connecticut,6010
Chicago,GM-14500,2019-05-10,CA-2016-117625,2019-05-15,Standard Class,Illinois,60610
Los Angeles,GH-14410,2017-07-09,CA-2014-114125,2017-07-13,Standard Class,California,90049
New York City,HA-14905,2017-06-30,CA-2014-146640,2017-07-05,Standard Class,New York,10024
Edmond,NP-18670,2019-11-20,CA-2016-114104,2019-11-24,Standard Class,Oklahoma,73034
Dallas,CG-12520,2018-10-15,US-2015-123918,2018-10-15,Same Day,Texas,75217
Pleasant Grove,VD-21670,2017-08-04,CA-2014-126361,2017-08-09,Second Class,Utah,84062
Chicago,DR-12940,2018-12-27,US-2015-163783,2019-01-01,Standard Class,Illinois,60610
Tucson,ES-14080,2019-07-14,CA-2016-136924,2019-07-17,First Class,Arizona,85705
Middletown,AA-10480,2017-05-04,CA-2014-155271,2017-05-04,Same Day,Connecticut,6457
Fairfield,RP-19390,2017-11-03,CA-2014-155593,2017-11-08,Standard Class,Connecticut,6824
Philadelphia,BC-11125,2018-06-20,CA-2015-158351,2018-06-24,Second Class,Pennsylvania,19134
Los Angeles,GM-14440,2019-12-03,CA-2016-161025,2019-12-09,Standard Class,California,90049
Seattle,GM-14500,2020-09-15,CA-2017-134418,2020-09-20,Standard Class,Washington,98103
Caldwell,SH-19975,2017-12-10,US-2014-112991,2017-12-14,Standard Class,Idaho,83605
Charlotte,KH-16630,2017-11-01,CA-2014-102673,2017-11-05,Standard Class,North Carolina,28205
San Francisco,LD-17005,2019-05-23,CA-2016-142762,2019-05-27,Standard Class,California,94109
San Francisco,MS-17770,2020-08-31,CA-2017-132619,2020-09-05,Standard Class,California,94109
Seattle,SE-20110,2019-06-11,CA-2016-142405,2019-06-15,Standard Class,Washington,98103
Fresno,LA-16780,2019-01-09,CA-2016-108882,2019-01-15,Standard Class,California,93727
Seattle,KB-16600,2019-06-05,CA-2016-149671,2019-06-09,Standard Class,Washington,98105
Los Angeles,LS-16975,2019-11-06,US-2016-125969,2019-11-10,Second Class,California,90004
Sunnyvale,JB-15400,2020-11-09,CA-2017-158246,2020-11-11,First Class,California,94086
Seattle,EB-13840,2018-03-26,CA-2015-164301,2018-03-30,Standard Class,Washington,98103
Philadelphia,KM-16225,2020-12-09,CA-2017-148012,2020-12-15,Standard Class,Pennsylvania,19143
Philadelphia,SV-20785,2018-05-03,CA-2015-112130,2018-05-07,Standard Class,Pennsylvania,19140
New York City,SM-20950,2020-12-05,CA-2017-105235,2020-12-11,Standard Class,New York,10011
Houston,LS-17245,2019-06-15,CA-2016-152765,2019-06-18,First Class,Texas,77036
Atlanta,JC-15775,2020-05-19,US-2017-120607,2020-05-19,Same Day,Georgia,30318
Clifton,SF-20065,2017-09-10,CA-2014-113383,2017-09-13,First Class,New Jersey,7011
Los Angeles,NM-18520,2019-12-03,CA-2016-153598,2019-12-06,First Class,California,90045
Springfield,AA-10480,2019-07-17,CA-2016-121671,2019-07-22,Standard Class,Missouri,65807
Elkhart,LH-16900,2020-07-23,US-2017-169320,2020-07-25,Second Class,Indiana,46514
Ann Arbor,BM-11650,2018-10-09,CA-2015-124107,2018-10-12,Second Class,Michigan,48104
Los Angeles,HG-14965,2019-01-28,CA-2016-146437,2019-02-01,Second Class,California,90036
Santa Ana,SV-20785,2019-05-26,CA-2016-148852,2019-05-31,Standard Class,California,92704
Phoenix,RF-19345,2017-12-13,CA-2014-124079,2017-12-17,Standard Class,Arizona,85023
Coral Springs,BP-11185,2018-03-24,US-2015-112508,2018-03-30,Standard Class,Florida,33065
Round Rock,GH-14665,2020-12-28,CA-2017-136539,2021-01-01,Standard Class,Texas,78664
Seattle,NP-18670,2018-02-27,CA-2015-138485,2018-03-01,Second Class,Washington,98105
New York City,ND-18370,2018-07-13,CA-2015-114069,2018-07-15,Second Class,New York,10035
Columbus,DS-13180,2019-03-27,CA-2016-119074,2019-03-31,Standard Class,Georgia,31907
Houston,LA-16780,2019-12-23,CA-2016-132829,2019-12-26,Second Class,Texas,77041
Seattle,KB-16585,2020-05-14,CA-2017-129357,2020-05-19,Standard Class,Washington,98103
Newport News,EH-14125,2019-05-24,CA-2016-136126,2019-05-24,Same Day,Virginia,23602
Philadelphia,EP-13915,2020-11-07,CA-2017-149888,2020-11-13,Standard Class,Pennsylvania,19120
Houston,JE-15745,2017-11-26,US-2014-147606,2017-12-01,Second Class,Texas,77070
Jacksonville,SC-20260,2018-03-31,CA-2015-137106,2018-04-04,Standard Class,Florida,32216
Atlanta,JS-15880,2019-02-12,CA-2016-110492,2019-02-14,First Class,Georgia,30318
Houston,RB-19705,2018-12-26,CA-2015-119550,2018-12-31,Standard Class,Texas,77070
New York City,SH-20395,2020-03-07,CA-2017-110884,2020-03-12,Standard Class,New York,10035
Los Angeles,GZ-14545,2020-03-19,CA-2017-140515,2020-03-24,Standard Class,California,90008
New York City,RD-19810,2019-06-07,CA-2016-120558,2019-06-10,First Class,New York,10035
Houston,BM-11785,2019-07-14,CA-2016-101966,2019-07-16,Second Class,Texas,77036
Bridgeton,JM-15655,2019-10-29,CA-2016-112389,2019-11-02,Standard Class,New Jersey,8302
San Francisco,BS-11380,2020-03-12,CA-2017-116288,2020-03-17,Standard Class,California,94122
Milwaukee,MY-18295,2019-04-01,US-2016-160206,2019-04-07,Standard Class,Wisconsin,53209
Danville,TC-21475,2020-04-30,US-2017-144582,2020-05-05,Standard Class,Illinois,61832
New York City,EB-14110,2018-11-12,US-2015-153283,2018-11-18,Standard Class,New York,10035
New York City,JP-16135,2017-09-23,CA-2014-113964,2017-09-30,Standard Class,New York,10011
El Paso,TS-21655,2020-01-02,CA-2017-147207,2020-01-04,Second Class,Texas,79907
San Francisco,CA-12265,2017-03-25,CA-2014-128237,2017-03-30,Standard Class,California,94110
Arlington,SC-20260,2020-03-31,CA-2017-144680,2020-04-02,First Class,Texas,76017
Rochester,DM-13345,2019-06-17,CA-2016-129861,2019-06-23,Standard Class,New York,14609
Long Beach,DK-13090,2020-11-18,CA-2017-104913,2020-11-22,Standard Class,New York,11561
Arlington,GB-14575,2020-12-17,CA-2017-130309,2020-12-21,Standard Class,Virginia,22204
Bryan,FM-14290,2020-11-04,CA-2017-121160,2020-11-04,Same Day,Texas,77803
Muskogee,SL-20155,2020-10-21,CA-2017-145884,2020-10-21,Same Day,Oklahoma,74403
Philadelphia,GM-14680,2020-07-31,CA-2017-126144,2020-08-05,Standard Class,Pennsylvania,19134
Houston,JH-15910,2020-05-28,US-2017-112613,2020-06-01,Standard Class,Texas,77070
Philadelphia,DG-13300,2018-07-03,US-2015-153500,2018-07-05,First Class,Pennsylvania,19134
Dallas,NS-18505,2019-11-24,CA-2016-128531,2019-11-26,Second Class,Texas,75217
Marion,DB-13120,2018-12-27,CA-2015-101889,2018-12-31,Standard Class,Ohio,43302
Lebanon,AB-10165,2020-09-15,CA-2017-145737,2020-09-20,Standard Class,Tennessee,37087
Madison,JP-15520,2020-12-08,CA-2017-117324,2020-12-13,Standard Class,Wisconsin,53711
Seattle,KA-16525,2018-10-12,CA-2015-142993,2018-10-17,Standard Class,Washington,98103
Philadelphia,AC-10615,2018-09-15,CA-2015-100734,2018-09-20,Standard Class,Pennsylvania,19143
New York City,RW-19630,2020-10-02,CA-2017-123981,2020-10-08,Standard Class,New York,10035
Salem,AG-10675,2020-06-09,US-2017-146822,2020-06-14,Standard Class,Virginia,24153
Columbia,JB-16000,2020-03-13,CA-2017-107713,2020-03-17,Standard Class,Maryland,21044
Arlington,LC-16960,2019-10-20,CA-2016-105753,2019-10-26,Standard Class,Virginia,22204
Auburn,TM-21010,2018-09-12,CA-2015-102015,2018-09-18,Standard Class,New York,13021
Los Angeles,RD-19810,2019-02-13,CA-2016-112942,2019-02-18,Standard Class,California,90045
Gulfport,EJ-14155,2020-05-14,CA-2017-133641,2020-05-21,Standard Class,Mississippi,39503
New York City,MO-17800,2019-08-29,CA-2016-128727,2019-09-04,Standard Class,New York,10024
San Diego,BO-11350,2020-02-02,CA-2017-128076,2020-02-07,Standard Class,California,92105
Charlotte,JM-15250,2020-11-23,CA-2017-119004,2020-11-28,Standard Class,North Carolina,28205
Los Angeles,ML-17410,2019-09-29,CA-2016-125794,2019-10-03,Standard Class,California,90008
Richmond,HL-15040,2019-06-24,CA-2016-101987,2019-06-30,Standard Class,Indiana,47374
Seattle,PS-18970,2020-03-21,CA-2017-111591,2020-03-25,Standard Class,Washington,98105
San Francisco,LS-16975,2017-11-26,US-2014-147648,2017-12-01,Standard Class,California,94109
New York City,JK-16120,2019-12-18,CA-2016-150945,2019-12-20,Second Class,New York,10009
New York City,DL-13330,2019-10-28,CA-2016-125815,2019-11-01,Second Class,New York,10009
New York City,TW-21025,2017-12-22,CA-2014-101364,2017-12-26,Standard Class,New York,10011
Los Angeles,HG-14965,2020-03-31,US-2017-160143,2020-04-07,Standard Class,California,90004
Waco,TP-21130,2019-08-31,CA-2016-117408,2019-09-06,Standard Class,Texas,76706
Akron,KB-16315,2018-02-14,US-2015-147662,2018-02-19,Standard Class,Ohio,44312
Toledo,AB-10165,2020-04-14,CA-2017-144932,2020-04-17,First Class,Ohio,43615
Lancaster,SZ-20035,2020-07-03,US-2017-111024,2020-07-06,Second Class,Ohio,43130
Aurora,ME-17725,2019-08-15,US-2016-123470,2019-08-21,Standard Class,Colorado,80013
Los Angeles,EM-13825,2020-05-02,US-2017-128398,2020-05-05,Second Class,California,90049
Waco,RS-19765,2020-03-02,CA-2017-124114,2020-03-02,Same Day,Texas,76706
Houston,JE-15715,2017-08-25,CA-2014-126200,2017-08-29,Standard Class,Texas,77070
Rochester,CT-11995,2020-09-25,CA-2017-162481,2020-09-29,Standard Class,Minnesota,55901
Los Angeles,VF-21715,2017-07-25,CA-2014-146528,2017-07-27,Second Class,California,90045
Springfield,CL-12700,2020-04-14,CA-2017-159604,2020-04-15,First Class,Missouri,65807
Los Angeles,MG-18145,2020-10-07,CA-2017-108574,2020-10-11,Standard Class,California,90045
Olympia,RD-19480,2018-06-23,CA-2015-122826,2018-06-25,Second Class,Washington,98502
Pompano Beach,SS-20140,2020-04-30,CA-2017-108322,2020-05-05,Standard Class,Florida,33068
Hollywood,KB-16315,2018-07-02,CA-2015-111703,2018-07-09,Standard Class,Florida,33021
New York City,RB-19705,2018-08-22,CA-2015-129854,2018-08-26,Standard Class,New York,10009
Philadelphia,HD-14785,2018-06-07,CA-2015-157343,2018-06-11,Standard Class,Pennsylvania,19143
Los Angeles,BM-11575,2020-09-21,CA-2017-165155,2020-09-23,First Class,California,90045
Lawrence,AG-10270,2018-09-20,CA-2015-153738,2018-09-22,First Class,Massachusetts,1841
Urbandale,WB-21850,2020-11-11,CA-2017-120327,2020-11-16,Standard Class,Iowa,50322
Mesa,MS-17710,2019-11-12,CA-2016-134348,2019-11-19,Standard Class,Arizona,85204
New York City,LW-16825,2017-05-30,CA-2014-103429,2017-06-01,First Class,New York,10024
San Francisco,RP-19270,2017-10-19,CA-2014-155264,2017-10-22,Second Class,California,94110
Springfield,FC-14245,2018-06-13,CA-2015-104059,2018-06-15,Second Class,Ohio,45503
Gilbert,HR-14830,2018-12-24,CA-2015-135538,2018-12-28,Standard Class,Arizona,85234
Providence,RH-19510,2019-09-19,CA-2016-168354,2019-09-21,First Class,Rhode Island,2908
Los Angeles,DO-13435,2019-05-16,CA-2016-133144,2019-05-21,Second Class,California,90036
New York City,SC-20380,2018-08-24,CA-2015-113740,2018-08-28,Second Class,New York,10035
Florence,AP-10720,2019-05-23,CA-2016-154403,2019-05-27,Standard Class,Alabama,35630
Henderson,AP-10915,2019-11-03,CA-2016-168893,2019-11-08,Second Class,Kentucky,42420
Los Angeles,MF-18250,2018-03-16,CA-2015-144722,2018-03-23,Standard Class,California,90036
Columbus,ME-17320,2020-06-12,CA-2017-148474,2020-06-19,Standard Class,Georgia,31907
Houston,CC-12370,2020-11-06,CA-2017-106691,2020-11-12,Standard Class,Texas,77070
Philadelphia,IM-15070,2018-11-22,CA-2015-100545,2018-11-26,Standard Class,Pennsylvania,19120
Hillsboro,KH-16330,2020-11-17,CA-2017-158120,2020-11-21,Standard Class,Oregon,97123
Hickory,ZC-21910,2020-06-11,CA-2017-133928,2020-06-17,Standard Class,North Carolina,28601
Dublin,FM-14215,2020-04-29,US-2017-164056,2020-05-04,Second Class,Ohio,43017
New York City,CM-12115,2020-03-31,CA-2017-100524,2020-04-02,Second Class,New York,10011
Dallas,LS-16945,2020-07-05,CA-2017-100223,2020-07-10,Standard Class,Texas,75220
Seattle,EB-13750,2019-04-09,CA-2016-126809,2019-04-13,Standard Class,Washington,98103
Seattle,ML-18265,2020-09-21,CA-2017-132262,2020-09-23,First Class,Washington,98103
